Account id: 5988062
Tweet id: 987875586478657536, Replies: 209
Tweet id: 987685225126875136, Replies: 168
Tweet id: 987323165536915456, Replies: 159
Tweet id: 987393771892609025, Replies: 147
Tweet id: 987750961291710465, Replies: 124
Tweet id: 987163457408720896, Replies: 105
Tweet id: 987412468384387073, Replies: 102
Tweet id: 987080868673085440, Replies: 93
Tweet id: 987320954186551296, Replies: 88
Tweet id: 987491375171203072, Replies: 80
Tweet id: 986977306806808581, Replies: 74
Tweet id: 987453334561927168, Replies: 73
Tweet id: 987182611041783809, Replies: 68
Tweet id: 987449284055502848, Replies: 62
Tweet id: 987258347022897152, Replies: 59
Tweet id: 987445306538319872, Replies: 50
Tweet id: 987708762793365504, Replies: 45
Tweet id: 986930455768334337, Replies: 28
Tweet id: 987501199363633157, Replies: 26
Account id: 16311797
Account id: 15108702
Account id: 49304503
Account id: 14677919
Tweet id: 987148902456492032, Replies: 308
Tweet id: 985519118475513856, Replies: 119
Tweet id: 985993086735134721, Replies: 100
Tweet id: 987632110331727874, Replies: 94
Tweet id: 986715690370519040, Replies: 88
Tweet id: 987010249923158016, Replies: 78
Tweet id: 985957434257702912, Replies: 78
Tweet id: 987080950533316608, Replies: 52
Tweet id: 986257244563046400, Replies: 50
Tweet id: 986771447979929600, Replies: 42
Tweet id: 987269731244797952, Replies: 39
Tweet id: 985893599035494400, Replies: 38
Tweet id: 985842011575148544, Replies: 38
Tweet id: 987165947118186496, Replies: 37
Tweet id: 986356202555789312, Replies: 37
Tweet id: 986826988202741761, Replies: 36
Tweet id: 985971137883590657, Replies: 32
Tweet id: 986986762126970881, Replies: 31
Tweet id: 985908185465786369, Replies: 30
Tweet id: 987476983805341697, Replies: 27
Tweet id: 987382930757603328, Replies: 27
Tweet id: 987272175337000960, Replies: 26
Tweet id: 987754354617864192, Replies: 25
Tweet id: 986283128972042240, Replies: 25
Tweet id: 986352367187656709, Replies: 24
Tweet id: 986069285759053824, Replies: 23
Tweet id: 986039105351020544, Replies: 23
Tweet id: 987805733810069505, Replies: 21
Tweet id: 987759899701665793, Replies: 21
Tweet id: 987695223017963520, Replies: 21
Tweet id: 986190051376812032, Replies: 21
Account id: 2097571
Tweet id: 987293880105230336, Replies: 208
Tweet id: 986747675478503424, Replies: 119
Tweet id: 987046713046327296, Replies: 96
Tweet id: 987458587004780544, Replies: 72
Tweet id: 987288864258772992, Replies: 63
Tweet id: 986629206342815745, Replies: 57
Tweet id: 986740319944413186, Replies: 55
Tweet id: 986577695738875904, Replies: 49
Tweet id: 986697847713206272, Replies: 45
Tweet id: 987081729176371200, Replies: 41
Tweet id: 987599795077505024, Replies: 40
Tweet id: 987255695652343809, Replies: 40
Tweet id: 986800619288752134, Replies: 37
Tweet id: 986755571729752064, Replies: 35
Tweet id: 987105199801225216, Replies: 34
Tweet id: 986981761430237185, Replies: 34
Tweet id: 987904103266349056, Replies: 33
Tweet id: 987799163520905216, Replies: 33
Tweet id: 987509946425184261, Replies: 32
Tweet id: 986938974756368384, Replies: 32
Tweet id: 987056401686999040, Replies: 31
Tweet id: 987801925046427648, Replies: 29
Tweet id: 987733989514514432, Replies: 29
Tweet id: 987282267084115968, Replies: 29
Tweet id: 987607004331020288, Replies: 28
Tweet id: 986969168871292928, Replies: 28
Tweet id: 986928934125277185, Replies: 28
Tweet id: 987413437004251139, Replies: 27
Tweet id: 987317487833370624, Replies: 26
Tweet id: 986622552259915781, Replies: 26
Tweet id: 987467394233880576, Replies: 25
Tweet id: 987121538364305409, Replies: 25
Tweet id: 986943766551547904, Replies: 24
Tweet id: 986930422683783170, Replies: 23
Tweet id: 986630451979841538, Replies: 23
Tweet id: 987662508306698240, Replies: 22
Tweet id: 986951429238788096, Replies: 22
Tweet id: 987579459720097792, Replies: 21
Tweet id: 987341641647259649, Replies: 21
Tweet id: 987146960703389696, Replies: 21
Tweet id: 986850894376513536, Replies: 21
Account id: 144274618
Account id: 335455570
Tweet id: 986196977410027520, Replies: 30
Tweet id: 985549218826899458, Replies: 23
Account id: 32357365
Account id: 5402612
Tweet id: 987385353144332289, Replies: 520
Tweet id: 985717065347751939, Replies: 412
Tweet id: 986704679307538432, Replies: 408
Tweet id: 987453482750889984, Replies: 353
Tweet id: 985881062990667776, Replies: 320
Tweet id: 987794540290600960, Replies: 261
Tweet id: 987301468121255936, Replies: 214
Tweet id: 986389333203738624, Replies: 173
Tweet id: 985865750966620160, Replies: 163
Tweet id: 986491179398246400, Replies: 130
Tweet id: 986161646317031424, Replies: 128
Tweet id: 986198325237092352, Replies: 123
Tweet id: 987673813352636416, Replies: 100
Tweet id: 986558771181883392, Replies: 81
Tweet id: 986407045233545219, Replies: 69
Tweet id: 986180297631961088, Replies: 66
Tweet id: 987973866843713536, Replies: 65
Tweet id: 987661556128321536, Replies: 60
Tweet id: 986331090087489536, Replies: 57
Tweet id: 986201272159268864, Replies: 57
Tweet id: 987688888801128449, Replies: 42
Tweet id: 986523221297070081, Replies: 37
Tweet id: 986640086967169026, Replies: 32
Account id: 14345062
Account id: 104237736
Account id: 51241574
Tweet id: 987453536328912897, Replies: 353
Tweet id: 987804059980783616, Replies: 203
Tweet id: 987352772801646592, Replies: 145
Tweet id: 987541712833658881, Replies: 117
Tweet id: 987662518775701504, Replies: 111
Tweet id: 987564353061838848, Replies: 109
Tweet id: 987624747625263104, Replies: 105
Tweet id: 987893854434222080, Replies: 102
Tweet id: 987850785269698560, Replies: 88
Tweet id: 987359722763440128, Replies: 71
Tweet id: 987488639696424962, Replies: 56
Tweet id: 987460030613086208, Replies: 56
Tweet id: 987921258569494528, Replies: 53
Tweet id: 987511285788143616, Replies: 43
Tweet id: 987896546355183617, Replies: 41
Tweet id: 987811978436595713, Replies: 36
Tweet id: 987556797119688704, Replies: 33
Tweet id: 987511866451808256, Replies: 33
Tweet id: 987651190338048001, Replies: 31
Tweet id: 987140049174220801, Replies: 28
Tweet id: 987639869085282304, Replies: 23
Tweet id: 987634883525795843, Replies: 23
Tweet id: 987674815522844672, Replies: 22
Tweet id: 987182842735136768, Replies: 22
Tweet id: 987632312086138880, Replies: 21
Account id: 759251
Tweet id: 987837387400253440, Replies: 496
Tweet id: 987841421817405445, Replies: 365
Tweet id: 987838419077337088, Replies: 304
Tweet id: 987843442410651652, Replies: 227
Tweet id: 987833761822920704, Replies: 226
Tweet id: 987858566001328128, Replies: 217
Tweet id: 987670277403430912, Replies: 203
Tweet id: 987425771538010112, Replies: 167
Tweet id: 987904104772132864, Replies: 139
Tweet id: 987881205252218880, Replies: 104
Tweet id: 987888748347183105, Replies: 86
Tweet id: 987848977428205568, Replies: 80
Tweet id: 987919191800991744, Replies: 70
Tweet id: 987850988794064896, Replies: 70
Tweet id: 987959441944399872, Replies: 69
Tweet id: 987813466923728899, Replies: 65
Tweet id: 987971876176781312, Replies: 53
Tweet id: 987509783602368512, Replies: 48
Tweet id: 987941828220551168, Replies: 42
Tweet id: 987828523187474433, Replies: 39
Tweet id: 987835924305383424, Replies: 34
Tweet id: 987516200547733504, Replies: 34
Tweet id: 987934294583672833, Replies: 33
Tweet id: 987801925499392000, Replies: 32
Tweet id: 987866113303351296, Replies: 30
Tweet id: 987799020964864000, Replies: 26
Tweet id: 987964483158052869, Replies: 25
Tweet id: 987896324753420289, Replies: 25
Tweet id: 987820814908248064, Replies: 25
Tweet id: 987973255414931458, Replies: 24
Tweet id: 987793097043185664, Replies: 24
Tweet id: 987722591388557314, Replies: 23
Tweet id: 987796389701799936, Replies: 22
Account id: 612473
Tweet id: 987973405457563648, Replies: 195
Tweet id: 987793555669299201, Replies: 105
Tweet id: 987705625684660224, Replies: 89
Tweet id: 987381196916047873, Replies: 77
Tweet id: 987655688674594816, Replies: 74
Tweet id: 987803756002709504, Replies: 70
Tweet id: 987288016258568193, Replies: 65
Tweet id: 987796569226403840, Replies: 58
Tweet id: 987521618393083904, Replies: 52
Tweet id: 987437366615867397, Replies: 51
Tweet id: 987318938198528000, Replies: 49
Tweet id: 987822667666546688, Replies: 46
Tweet id: 987469643160973312, Replies: 46
Tweet id: 987977197649457152, Replies: 45
Tweet id: 987855468839292934, Replies: 44
Tweet id: 986909514396909568, Replies: 43
Tweet id: 987479151694184448, Replies: 42
Tweet id: 987333148492083201, Replies: 42
Tweet id: 987457033208295425, Replies: 41
Tweet id: 987325708501442561, Replies: 38
Tweet id: 987308667207847936, Replies: 36
Tweet id: 987251628247003136, Replies: 36
Tweet id: 987651564650221568, Replies: 33
Tweet id: 987844893539258368, Replies: 32
Tweet id: 987455460797272065, Replies: 32
Tweet id: 987374335764713472, Replies: 32
Tweet id: 987313317604745216, Replies: 32
Tweet id: 986976726424178690, Replies: 31
Tweet id: 987736034820673537, Replies: 30
Tweet id: 987437748196990977, Replies: 30
Tweet id: 987436701650997248, Replies: 29
Tweet id: 987670582127939585, Replies: 28
Tweet id: 987373439936843776, Replies: 28
Tweet id: 987360868391444480, Replies: 27
Tweet id: 987403282732716032, Replies: 26
Tweet id: 987831530146975744, Replies: 25
Tweet id: 987268438832898048, Replies: 25
Tweet id: 987350421541982208, Replies: 23
Tweet id: 987329037499600896, Replies: 23
Tweet id: 987959071088226305, Replies: 22
Tweet id: 987713583583825922, Replies: 22
Tweet id: 987487091448860673, Replies: 22
Tweet id: 987255105333399553, Replies: 22
Tweet id: 987967701745356800, Replies: 21
Tweet id: 987733951736360960, Replies: 21
Tweet id: 987409773418164224, Replies: 21
Account id: 1877831
Tweet id: 986206402216677376, Replies: 47
Tweet id: 987760387251752962, Replies: 30
Tweet id: 986506427085807616, Replies: 28
Tweet id: 986853048487161856, Replies: 24
Tweet id: 986961617660334083, Replies: 21
Tweet id: 985500197756309504, Replies: 21
Account id: 34713362
Tweet id: 987479097671651336, Replies: 98
Tweet id: 986994661029040128, Replies: 98
Tweet id: 987109598640386050, Replies: 64
Tweet id: 985930781473288193, Replies: 64
Tweet id: 987374113781157888, Replies: 56
Tweet id: 986729617905119232, Replies: 55
Tweet id: 987052287515348993, Replies: 51
Tweet id: 987453376093974528, Replies: 46
Tweet id: 987648360994824192, Replies: 44
Tweet id: 987829904405336065, Replies: 36
Tweet id: 987696482068369408, Replies: 35
Tweet id: 986605848821747712, Replies: 32
Tweet id: 986693183026417665, Replies: 30
Tweet id: 986939804846829568, Replies: 27
Tweet id: 986786332646301696, Replies: 26
Tweet id: 986751812282867712, Replies: 26
Tweet id: 987457732914700293, Replies: 24
Tweet id: 987356754253176834, Replies: 23
Tweet id: 987138140728168448, Replies: 22
Tweet id: 987076257987878913, Replies: 22
Tweet id: 986660766274203653, Replies: 22
Tweet id: 987801281468215298, Replies: 21
Account id: 3108351
